ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
NDAQ,NDAQ,1120193,2024,10-K,2025-02-21,sec_companyfacts,7400000000.0,4649000000.0,1449000000.0,1115000000.0,5006000000.0,30395000000.0,7902000000.0,9081000000.0,399000000.0,1939000000.0,207000000.0,,613000000.0,,9480000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
NDAQ,NDAQ,1120193,2025,10-K,2026-02-12,sec_companyfacts,8262000000.0,5249000000.0,2145000000.0,1787000000.0,3934000000.0,31053000000.0,7961000000.0,8573000000.0,431000000.0,2255000000.0,266000000.0,,632000000.0,,9004000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
PIPR,PIPR,1230245,2022,10-K,2023-02-24,sec_companyfacts,393324000.0,,42670000.0,38014000.0,365624000.0,2181557000.0,927529000.0,,,-224907000.0,,,15600000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
PIPR,PIPR,1230245,2023,10-K,2024-02-26,sec_companyfacts,474207000.0,,85846000.0,64573000.0,383098000.0,2140983000.0,841510000.0,,30000000.0,275629000.0,,,17900000.0,,30000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
PIPR,PIPR,1230245,2024,10-K,2025-02-27,sec_companyfacts,485384000.0,,82129000.0,52502000.0,482834000.0,2255936000.0,840163000.0,,10000000.0,313255000.0,,,16800000.0,,10000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
PIPR,PIPR,1230245,2025,10-K,2026-02-26,sec_companyfacts,1834064000.0,,188763000.0,142964000.0,809415000.0,2592646000.0,1009853000.0,,15000000.0,586627000.0,,,17400000.0,,15000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
RJF,RJF,720005,2022,10-K,2022-11-22,sec_companyfacts,11308000000.0,,2022000000.0,1509000000.0,14659000000.0,80951000000.0,71519000000.0,,,72000000.0,91000000.0,,,305000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
RJF,RJF,720005,2023,10-K,2023-11-21,sec_companyfacts,12992000000.0,,2280000000.0,1739000000.0,12548000000.0,78360000000.0,68173000000.0,,,-3514000000.0,173000000.0,,,1373000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
RJF,RJF,720005,2024,10-K,2024-11-26,sec_companyfacts,14923000000.0,,,2068000000.0,14348000000.0,82992000000.0,71325000000.0,,,2155000000.0,205000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
RJF,RJF,720005,2025,10-K,2025-11-25,sec_companyfacts,15912000000.0,,,2135000000.0,14787000000.0,88230000000.0,75726000000.0,,,2434000000.0,188000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
SCHW,SCHW,316709,2022,10-K,2023-02-24,sec_companyfacts,20762000000.0,,9388000000.0,7183000000.0,58720000000.0,551772000000.0,515164000000.0,,17050000000.0,2057000000.0,952000000.0,,652000000.0,1545000000.0,17050000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
SCHW,SCHW,316709,2023,10-K,2024-02-23,sec_companyfacts,18837000000.0,,6378000000.0,5067000000.0,74473000000.0,493178000000.0,452220000000.0,,,19587000000.0,804000000.0,,804000000.0,6684000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
SCHW,SCHW,316709,2024,10-K,2025-02-26,sec_companyfacts,19606000000.0,,7692000000.0,5942000000.0,65514000000.0,479843000000.0,431468000000.0,,,2670000000.0,607000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
SCHW,SCHW,316709,2025,10-K,2026-02-25,sec_companyfacts,23921000000.0,,11459000000.0,8852000000.0,69661000000.0,490995000000.0,441570000000.0,,,9311000000.0,602000000.0,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
SEIC,SEIC,350894,2022,10-K,2023-02-21,sec_companyfacts,1991037000.0,643917000.0,609280000.0,475467000.0,853359000.0,2383553000.0,397883000.0,,,566119000.0,72834000.0,,,749000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
